,Agency,Date,Description,Incident#,Location
0,Champaign Police,9-1-2020 8:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005449,200  BLOCK N FOURTH ST
1,Champaign Police,9-1-2020 3:24 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005437,300  BLOCK W GREEN ST
2,Champaign Police,9-1-2020 2:07 PM,THEFT $500 AND UNDER,CC2005433,700  BLOCK W GREEN ST
3,Champaign Police,9-1-2020 1:19 PM,THEFT OVER $500,CC2005427,300  BLOCK E JOHN ST
4,Champaign Police,9-1-2020 4:00 AM,HEROIN OVERDOSE,CC2005417,2400  BLOCK N PROSPECT AV
5,Champaign Police,8-31-2020 10:26 PM,TRESPASS TO LAND/REAL PROPERTY,CC2005414,0  BLOCK E MAIN ST
6,Champaign Police,8-31-2020 7:11 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005412,400  BLOCK W SPRINGFIELD AV
7,Champaign Police,8-31-2020 2:00 PM,THEFT-MOTOR VEHICLE,CC2005403,700  BLOCK  BLOOMINGTON RD
8,Champaign Police,8-31-2020 10:00 AM,ASSAULT-AGGRAVATED,CC2005400,0  BLOCK E UNIVERSITY AV
9,Champaign Police,8-31-2020 5:23 AM,BURGLARY RESIDENTIAL,CC2005395,700  BLOCK N STATE ST
10,Champaign Police,8-30-2020 11:35 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005390,2500  BLOCK W SPRINGFIELD AV
11,Champaign Police,8-30-2020 12:10 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005382,2500  BLOCK W SPRINGFIELD AV
12,Champaign Police,8-30-2020 11:25 AM,THEFT-RETAIL,CC2005380,2600  BLOCK N PROSPECT
13,Champaign Police,8-30-2020 9:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005448,1900  BLOCK  CENTER DR
14,Champaign Police,8-30-2020 2:16 AM,BATTERY,CC2005372,W BRADLEY AV  & S JAMES ST
15,Champaign Police,9-1-2020 8:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005449,200  BLOCK N FOURTH ST
16,Champaign Police,9-1-2020 3:24 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005437,300  BLOCK W GREEN ST
17,Champaign Police,9-1-2020 2:07 PM,THEFT $500 AND UNDER,CC2005433,700  BLOCK W GREEN ST
18,Champaign Police,9-1-2020 1:19 PM,THEFT OVER $500,CC2005427,300  BLOCK E JOHN ST
19,Champaign Police,9-1-2020 4:00 AM,HEROIN OVERDOSE,CC2005417,2400  BLOCK N PROSPECT AV
20,Champaign Police,8-31-2020 10:26 PM,TRESPASS TO LAND/REAL PROPERTY,CC2005414,0  BLOCK E MAIN ST
21,Champaign Police,8-31-2020 7:11 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005412,400  BLOCK W SPRINGFIELD AV
22,Champaign Police,8-31-2020 2:00 PM,THEFT-MOTOR VEHICLE,CC2005403,700  BLOCK  BLOOMINGTON RD
23,Champaign Police,8-31-2020 10:00 AM,ASSAULT-AGGRAVATED,CC2005400,0  BLOCK E UNIVERSITY AV
24,Champaign Police,8-31-2020 5:23 AM,BURGLARY RESIDENTIAL,CC2005395,700  BLOCK N STATE ST
25,Champaign Police,8-30-2020 11:35 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005390,2500  BLOCK W SPRINGFIELD AV
26,Champaign Police,8-30-2020 12:10 PM,DISORDERLY CONDUCT-ALL OTHER,CC2005382,2500  BLOCK W SPRINGFIELD AV
27,Champaign Police,8-30-2020 11:25 AM,THEFT-RETAIL,CC2005380,2600  BLOCK N PROSPECT
28,Champaign Police,8-30-2020 9:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005448,1900  BLOCK  CENTER DR
29,Champaign Police,8-30-2020 2:16 AM,BATTERY,CC2005372,W BRADLEY AV  & S JAMES ST
30,Champaign Police,8-30-2020 12:01 AM,ASSAULT-AGGRAVATED,CC2005381,100  BLOCK E PARK ST
31,Champaign Police,8-29-2020 11:00 PM,BATTERY-DOMESTIC,CC2005370,2500  BLOCK W SPRINGFIELD AV
32,Champaign Police,8-29-2020 10:00 PM,THEFT OF LOST/MISLAID PROP,CC2005401,2100  BLOCK  LYNWOOD DR
33,Champaign Police,8-29-2020 8:20 PM,BATTERY -CITY,CC2005368,100  BLOCK E GREEN ST
34,Champaign Police,8-29-2020 7:15 PM,BATTERY-AGGRAVATED,CC2005366,N FOURTH ST  & S CHURCH ST
35,Champaign Police,8-29-2020 4:51 PM,ASSAULT-AGGRAVATED,CC2005363,LOUISIANA AV  & BLOOMINGTON RD
36,Champaign Police,8-29-2020 3:47 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005361,800  BLOCK  BLOOMINGTON RD
37,Champaign Police,8-29-2020 3:00 PM,THEFT-MOTOR VEHICLE,CC2005377,2100  BLOCK  SUNVIEW DR
38,Champaign Police,8-29-2020 2:30 PM,THEFT $500 AND UNDER,CC2005360,100  BLOCK E SPRINGFIELD AV
39,Champaign Police,8-29-2020 12:45 PM,BATTERY,CC2005355,300  BLOCK  KENWOOD RD
40,Champaign Police,8-29-2020 10:00 AM,BATTERY-DOMESTIC,CC2005352,5100  BLOCK  JACKS BL
41,Champaign Police,8-29-2020 8:20 AM,DISORDERLY CONDUCT-ALL OTHER,CC2005348,400  BLOCK E CHURCH ST
42,Champaign Police,8-29-2020 7:00 AM,THEFT-MOTOR VEHICLE,CC2005347,700  BLOCK W HEALEY ST
43,Champaign Police,8-29-2020 2:00 AM,BATTERY-AGG DOMESTIC,CC2005346,1900  BLOCK  SOUTHWOOD DR
44,Champaign Police,8-29-2020 1:33 AM,FIGHTING,CC2005343,100  BLOCK N WALNUT ST
45,Champaign Police,8-30-2020 12:01 AM,ASSAULT-AGGRAVATED,CC2005381,100  BLOCK E PARK ST
46,Champaign Police,8-29-2020 11:00 PM,BATTERY-DOMESTIC,CC2005370,2500  BLOCK W SPRINGFIELD AV
47,Champaign Police,8-29-2020 10:00 PM,THEFT OF LOST/MISLAID PROP,CC2005401,2100  BLOCK  LYNWOOD DR
48,Champaign Police,8-29-2020 8:20 PM,BATTERY -CITY,CC2005368,100  BLOCK E GREEN ST
49,Champaign Police,8-29-2020 7:15 PM,BATTERY-AGGRAVATED,CC2005366,N FOURTH ST  & S CHURCH ST
50,Champaign Police,8-29-2020 4:51 PM,ASSAULT-AGGRAVATED,CC2005363,LOUISIANA AV  & BLOOMINGTON RD
51,Champaign Police,8-29-2020 3:47 PM,CONTROLLED SUBSTANCE-POSSESSION,CC2005361,800  BLOCK  BLOOMINGTON RD
52,Champaign Police,8-29-2020 3:00 PM,THEFT-MOTOR VEHICLE,CC2005377,2100  BLOCK  SUNVIEW DR
53,Champaign Police,8-29-2020 2:30 PM,THEFT $500 AND UNDER,CC2005360,100  BLOCK E SPRINGFIELD AV
54,Champaign Police,8-29-2020 12:45 PM,BATTERY,CC2005355,300  BLOCK  KENWOOD RD
55,Champaign Police,8-29-2020 10:00 AM,BATTERY-DOMESTIC,CC2005352,5100  BLOCK  JACKS BL
56,Champaign Police,8-29-2020 8:20 AM,DISORDERLY CONDUCT-ALL OTHER,CC2005348,400  BLOCK E CHURCH ST
